Team,Season,id,firstName,lastName,sweaterNumber,positionCode,city,country,latitude,longitude
CBJ,20242025,8477497,Sean,Monahan,23,C,Brampton,CAN,43.685832,-79.7599366
EDM,20242025,8477498,Darnell,Nurse,25,D,Hamilton,CAN,43.2560802,-79.8728583
PHI,20242025,8477499,Rasmus,Ristolainen,55,D,Turku,FIN,60.4517531,22.2670522
NYI,20242025,8477500,Bo,Horvat,14,C,London,CAN,42.9832406,-81.243372
TOR,20242025,8477503,Max,Domi,11,C,Winnipeg,CAN,49.8955367,-97.1384584
WPG,20242025,8477504,Josh,Morrissey,44,D,Calgary,CAN,51.0456064,-114.057541
SJS,20242025,8477505,Alexander,Wennberg,21,C,Stockholm,SWE,59.3251172,18.0710935
NYI,20242025,8477506,Ryan,Pulock,6,D,Dauphin,CAN,51.153509,-100.04425
BOS,20242025,8477507,Nikita,Zadorov,91,D,Moscow,RUS,55.7505412,37.6174782
NJD,20242025,8477508,Curtis,Lazar,42,C,Salmon Arm,CAN,50.7005059,-119.2790529
CGY,20242025,8477511,Anthony,Mantha,39,R,Longueuil,CAN,45.521906,-73.4644578
ANA,20242025,8477527,Ross,Johnston,44,L,Charlottetown,CAN,46.234953,-63.132935
TOR,20242025,8477541,Dakota,Mermis,36,D,Alton,USA,38.8908583,-90.1843091
STL,20242025,8477573,Nathan,Walker,26,L,Cardiff,GBR,51.4816546,-3.1791934
CGY,20242025,8477810,Joel,Hanley,44,D,Keswick,CAN,44.2396166,-79.4686558
WSH,20242025,8477845,Trevor,van Riemsdyk,57,D,Middletown,USA,41.5623178,-72.6509061
PHI,20242025,8477903,Garnet,Hathaway,19,R,Naples,USA,26.1421976,-81.7942944
MIN,20242025,8477919,Frederick,Gaudreau,89,C,Bromont,CAN,45.3187339,-72.6463074
FLA,20242025,8477931,Tomas,Nosek,92,L,Pardubice,CZE,50.0385812,15.7791356
FLA,20242025,8477932,Aaron,Ekblad,5,D,Windsor,CAN,42.3167397,-83.0373389
FLA,20242025,8477933,Sam,Reinhart,13,C,West Vancouver,CAN,49.3311208,-123.159479
EDM,20242025,8477934,Leon,Draisaitl,29,C,Cologne,GER,50.938361,6.959974
FLA,20242025,8477935,Sam,Bennett,9,C,Holland Landing,CAN,44.1015097,-79.4914772
WPG,20242025,8477938,Haydn,Fleury,24,D,Carlyle,CAN,49.6337518,-102.2669689
